time_h,lower,upper,width
415.0,0.764465049593807,0.8029120111289951,0.03844696153518812
420.0,0.76184592929259,0.8006825444011509,0.03883661510856096
425.0,0.7592327813772332,0.7984570010401836,0.03922421966295042
430.0,0.7566256223032604,0.7962353925487913,0.03960977024553092
435.0,0.7540244681210648,0.7940177302283383,0.0399932621072735
440.0,0.751429334480298,0.7918040251805765,0.04037469070027844
445.0,0.7488402366342146,0.7895942883093546,0.04075405167514001
450.0,0.7462571894439785,0.7873885303223145,0.04113134087833603
455.0,0.7436802073829317,0.785186761732576,0.04150655434964423
460.0,0.7411093045408225,0.7829889928604077,0.04187968831958522
465.0,0.7385444946279949,0.7807952338348878,0.04225073920689293
470.0,0.735985790979543,0.778605494595553,0.042619703616009974
475.0,0.7334332065594238,0.7764197848940331,0.04298657833460928
480.0,0.7308867539645347,0.7742381142956759,0.043351360331141175
485.0,0.7283464454287548,0.7720604921811607,0.043714046752405866
490.0,0.7258122928269453,0.7698869277480974,0.044074634921152156
495.0,0.7232843076789188,0.7677174300126173,0.04443312233369845
500.0,0.7207625011533689,0.7655520078109497,0.04478950665758075
505.0,0.7182468840717637,0.7633906698009898,0.04514378572922606
510.0,0.7157374669122057,0.7612334244638517,0.04549595755164593
